page,role,project,caption,source_path,confidence,flag
16,product photo (left),StreetBond — blue splash-pad coating,Coloured pavement that moves with asphalt.,public/images/products/streetbond/streetbond-112.jpg,medium,
17,product spec (no photo),StreetBond,The colour system. (spec grid),-,high,CLAIMS: 'Bonds at the molecular level. Will not peel.'; 'Full Pantone matching'; 'BC Ministry of Transportation recognized' — all flagged (see claims CSV).
18,product photo (left),StreetPrint — circular stamped driveway,Stamped asphalt at a fraction of stone's lifecycle cost.,public/images/products/streetprint/streetprint-40.jpg,medium,
19,product spec (no photo),StreetPrint,Stamped asphalt. 12+ patterns. (spec grid),-,high,CLAIM: '12+ patterns' understates the library (100+ across 15 families per Template Catalog).
20,product photo (left),DecoMark — City of Surrey logo crosswalk,A crosswalk is a canvas.,public/images/products/decomark/decomark-43.jpg,medium,DUPLICATE image — same Surrey-logo crosswalk reused at p64 (where copy is BC Children's Hospital).
21,product spec (no photo),DecoMark,Custom graphics. (spec grid),-,high,'Custom Pantone' is defensible for the preformed thermoplastic line (PMS published for TrafficPatterns).
22,product photo (left),MMAX — London Transit red bus lane,Traffic-ready overnight. Engineered for transit lanes.,public/images/products/mmax/mmax-05.jpg,medium,
23,product spec (no photo),MMAX,MMA resin lane coating. (spec grid),-,high,CLAIM: 'Applies at +3°C' — data sheet Extended Season is 2°C (35°F).
24,product photo (left),StreetBondSR — warm orange/tan park path,Solar reflective. LEED-aligned.,public/images/products/streetbondsr/streetbondsr-02.jpg,medium,Warm-orange tone contradicts a solar-reflective/'cool surface' product (build map switched to cool light-grey sbsr-08).
25,product spec (no photo),StreetBondSR,Cool surface coating. (spec grid),-,high,"CLAIM: italic 'Initial SRI ≥ 0.33' conflates SRI (index, ≥29) with Solar Reflectance (0.33); 'custom Pantone matching' not supported for StreetBond family."
26,product photo (left),DuraTherm — yellow inlaid crosswalk,Inlaid. Flush. Invisible to snowplows.,public/images/products/duratherm/duratherm-01.jpg,medium,
27,product spec (no photo),DuraTherm,Inlaid thermoplastic. (spec grid),-,high,"CLAIM: 'Embedded into a milled groove' is inaccurate — DuraTherm is imprinted into HEATED asphalt with a template (TS003), not milled. Live site also wrong."
28,product photo (left),DuraShield — 'Ingles' supermarket parking lot,"Maintain a surface, do not replace it.",public/images/products/durashield/durashield-04.jpg,medium,US LOCATION — Ingles Markets is a southeastern-US grocery chain; violates Canadian-only proof-point rule. Replace with a Canadian lot.
29,product spec (no photo),DuraShield,Pavement maintenance coating. (spec grid),-,high,"CLAIMS: 'Solar Reflectance 0.34' (TDS=0.33, Solar Gray only); 'Chemical-resistant fuel/oil/deicing' (soften); 'anti-slip aggregate' undocumented."
30,product photo (left),PreMark — ladder crosswalk at construction site,Pre-cut. Heat-applied. Open immediately.,public/images/products/premark/premark-01.jpg,medium,
31,product spec (no photo),PreMark,Road marking symbols. (spec grid),-,high,"CLAIM: '125mil standard / 90mil ViziGrip' thickness not stated in TS005/PreMarkXF brochure; ViziGrip is a finish, not a thickness."
32,product photo (left),AirMark — airfield taxiway markings,"Airfield markings, certified to last.",public/images/products/airmark/airmark-04.jpg,medium,Airfield location not confirmed Canadian (verify).
33,product spec (no photo),AirMark,Airfield thermoplastic. (spec grid),-,high,CLAIM: 'outlasts paint by four to one / 4×' not in AirMark brochure (use 'significantly outlasts paint'). Spec omits the verified 5 colours + ISO 9001:2015 — consider adding.
34,full-bleed editorial,Little Italy / The Drive (Vancouver),(no caption),public/images/applications/community-branding/community-branding-04.jpg,high,DUPLICATE of p10 (and p76). Same photo used as products-section closer editorial.
35,full-bleed editorial,Terry Fox Marathon of Hope plaza (Port Coquitlam) — Nova Scotia medallion,Designed for the city. Built for the street.,public/images/blog/terry-fox-plaza-coquitlam/featured.jpg,high,KNOWN DEFECT — same Terry Fox map photo reused at p43. Same installation also appears at p88.
36,section opener,"Wide brick crosswalk, York Region intersection",SECTION TWO — Applications.,public/images/applications/crosswalks/crosswalks-06.jpg,high,
37,application,Crosswalks — brick crosswalk + green bike lane (York Region),"Pedestrian safety, designed in.",public/images/applications/crosswalks/crosswalks-03.jpg,medium,CLAIM in body: 'TrafficPatterns and TrafficPatternsXD ... ASTM-rated retroreflectivity' — TP/TPXD are non-reflective per data sheet.
38,application,Bike Lanes — green bike lane pictograph,"Visibility that holds, season after season.",public/images/applications/bike-lanes/bike-lanes-14.jpg,medium,CLAIM: 'Bond strength above 3 MPa for cured MMAX zones' — verify figure against MMAX data sheet.
39,application,"Bus Lanes — London Transit bus, red lane (Brewery District)",Engineered for the harshest urban loads.,public/images/applications/bus-lanes/bus-lanes-20.jpg,medium,
40,application,Parking Lots — small green EV charging stall,"Looks maintained, performs safely, costs less.",public/images/applications/parking-lots/parking-lots-01.jpg,medium,"Wrong scale/context — a tiny EV stall, not a parking lot (build map switched to a Lowe's-scale lot). CLAIM '(SR 0.34)' should be 0.33."
41,application,Parks & Paths — paver path at heritage building,Surfaces worth spending time on.,public/images/applications/parks-paths/parks-paths-04.jpg,medium,
42,application,Playgrounds — schoolyard play surfacing,"Vibrant, slip-resistant, built for hard use.",public/images/applications/playgrounds/playgrounds-01.jpg,medium,
43,application,Community Branding — Terry Fox Marathon of Hope map,"Neighbourhood identity, embedded in the street.",public/images/blog/terry-fox-plaza-coquitlam/featured.jpg,high,KNOWN DEFECT — DUPLICATE of p35. Also caption/image mismatch: a Terry Fox memorial map is not 'neighbourhood branding'. Body crowds the 2-line headline.
44,application,Private Driveways — red cobblestone stamped driveway,Stone-paver looks. No demolition required.,public/images/applications/residential-driveways/residential-driveways-01.jpg,medium,
45,application,Sport Courts — orange court 'La Dauphine' (QC),Court colour and lines that hold their geometry.,public/images/applications/sport-courts/sport-courts-01.jpg,medium,
46,application,Splash Pads — blue splash pad with umbrellas,Slip-resistant. Cool to touch. Vivid colour.,public/images/applications/splash-pads/splash-pads-01.jpg,medium,
47,application,"Public Spaces — blue/green grid crosswalk, transit terminal","Civic plazas, transit forecourts, university campuses.",public/images/applications/public-spaces/public-spaces-08.jpg,medium,Text crowding — 2-line headline collides with body text.
48,application,Commercial Spaces — residential EV (Nissan Leaf) charging stall,Premium hardscape. Mixed-use developments and hospitality.,public/images/applications/commercial-spaces/commercial-spaces-01.jpg,medium,"Wrong context — residential EV stall, not commercial/hospitality (build map switched to UBC commercial entrance). Text crowding."
49,application,Townhomes — strata development with red stamped border,Cohesive hardscape for strata developments.,public/images/applications/townhomes/townhomes-01.jpg,medium,
50,application,Pedestrian Safety — paver crosswalk close-up,"Vision Zero, on the surface.",public/images/applications/crosswalks/crosswalks-18.jpg,low,Generic close-up; location uncertain (verify Canadian).
51,application,Traffic Calming — colourful highway surface treatment (ON),Drivers slow without barriers.,public/images/applications/traffic-calming/traffic-calming-01.jpg,medium,
52,application,LEED & Heat Island — warm-orange Montreal park paths,Solar reflective. Climate-aligned.,public/images/applications/leed-urban-heat-island/leed-urban-heat-island-01.jpg,medium,Warm-orange tone contradicts solar-reflective message (build map switched to cool-toned sbsr-07).
53,application,Public Art — alphabet-wheel playground mural,The street as canvas.,public/images/applications/community-branding/community-branding-11.jpg,medium,"Loose fit — copy references BC Children's labyrinth + UBC, image shows a playground letter-wheel."
54,full-bleed editorial,'3 Yates St.' wayfinding marker,(no caption),public/images/applications/community-branding/community-branding-07.jpg,medium,Small/dim marker — weak scale for a full-bleed editorial.
55,full-bleed editorial,Repentigny tennis court ('Les Internationaux de Tennis') (QC),Five hundred municipalities. One standard.,unconfirmed,low,CLAIM: '500 municipalities' unverifiable (see claims CSV).
56,section opener,GO Transit double-decker bus at brick crosswalk (ON),SECTION THREE — Projects.,public/images/blog/multimodal-connectivity-york-region/featured.jpg,high,
57,project hero,"York Region VIVA BRT (York Region, ON) — wet red MMAX lane","BRT corridor, open in 90 minutes.",public/images/products/mmax/mmax-16.jpg,high,CLAIM 'open in 90 minutes' / 'Bond strength above 3 MPa' — verify (MMAX cure is 30–60 min).
58,project detail,"York Region VIVA BRT — Canada Life building, red lane",(project story),public/images/products/mmax/mmax-15.jpg,medium,
59,project hero,"Toronto Priority Bus Lanes (Toronto, ON) — red 'BUS ONLY' lane",Twelve corridors. One transit network.,public/images/products/mmax/mmax-04.jpg,high,
60,project detail,Toronto Priority Bus Lanes — brick crosswalk + car,(project story),public/images/products/mmax/mmax-07.jpg,medium,
61,project hero,"London East Link BRT (London, ON) — crosswalk + red lane corner",A transit corridor with a clear identity.,public/images/applications/bus-lanes/bus-lanes-04.jpg,medium,
62,project detail,London East Link BRT — London Transit bus on red lane,(project story),public/images/applications/bus-lanes/bus-lanes-38.jpg,medium,
63,project hero,"BC Children's Hospital (Vancouver, BC) — labyrinth roof garden",Playful surfaces. Healing spaces.,public/images/blog/bc-childrens-hospital-labyrinth/featured.jpg,high,
64,project detail,BC Children's Hospital — DEPICTS City of Surrey logo crosswalk,(project story: StreetBond + DecoMark labyrinth),public/images/products/decomark/decomark-43.jpg,high,"KNOWN DEFECT — copy is BC Children's Hospital, image is City of Surrey logo crosswalk (mismatch). Also DUPLICATE of p20."
65,project hero,"New Westminster Complete Streets (New West, BC) — plaza + planters","Modal clarity, written in colour.",public/images/blog/complete-streets-new-westminster/featured.jpg,high,
66,project detail,New Westminster Complete Streets — green bike lanes + crossing guard,(project story),public/images/applications/bike-lanes/bike-lanes-32.jpg,medium,
67,project hero,"York Region Pedestrian Safety (York Region, ON) — brick crosswalk, winter homes",Outlasts paint by eight times.,public/images/blog/trafficpatternsxd-urban-design/featured.jpg,high,CLAIM 'eight times' — use 'up to 6–8x longer than paint'.
68,project detail,York Region Pedestrian Safety — DEPICTS UBC Musqueam salmon crosswalk,"(project story: TPXD, York Region)",public/images/blog/ubc-musqueam-crosswalk/featured.jpg,high,"KNOWN DEFECT — copy is York Region, image is UBC Musqueam (mismatch). DUPLICATE of cover p1 and p73; UBC image should appear only on the UBC project."
69,project hero,Vision Zero Crosswalks (Canada-Wide) — blue 'W 1st Street' high-vis crosswalk,High-visibility holds lives.,public/images/blog/pedestrian-safety-solutions/featured.jpeg,high,Verify 'W 1st Street' location is Canadian.
70,project detail,Vision Zero Crosswalks — Waterloo Park aerial pathway (ON),(project story),public/images/applications/crosswalks/crosswalks-31.jpg,medium,
71,project hero,"Vancouver BIA Crosswalks (Vancouver, BC) — TransLink bus + leaf/wave crosswalk","District identity, cast in pavement.",public/images/blog/vancouver-decorative-crosswalk-design/featured.jpeg,high,
72,project detail,Vancouver BIA Crosswalks — paver crosswalk at commercial building,(project story),public/images/products/streetprint/streetprint-69.jpg,medium,"Detail reads as a commercial entry, not an obvious Vancouver BIA street (loose fit)."
73,project hero,"UBC Musqueam Crosswalk (Vancouver, BC) — UBC salmon crosswalk",A surface is also a statement.,public/images/blog/ubc-musqueam-crosswalk/featured.jpg,high,Correct home of the UBC image (also used on cover p1; mis-used on p68).
74,project detail,UBC Musqueam Crosswalk — orange spiral/pinwheel stamp,(project story),public/images/products/streetprint/streetprint-77.jpg,medium,
75,project hero,"More Awesome Now (Vancouver, BC) — laneway blue/yellow art",Six laneways. Six artists.,public/images/blog/laneway-project/featured.png,high,
76,project detail,More Awesome Now — DEPICTS Little Italy / The Drive,(project story: six Vancouver laneways),public/images/applications/community-branding/community-branding-04.jpg,high,DUPLICATE of p10/p34 (3x). Caption/image mismatch — a laneways project showing the Little Italy intersection.
77,full-bleed editorial,Downtown alley light-art installation at dusk,(no caption),unconfirmed,low,Location uncertain — tall-downtown alley; verify Canadian / verify it is a HUB install.
78,full-bleed editorial,Vancouver Dunsmuir & Granville — green bike lane + SUV,Every mark tells a story.,public/images/applications/bike-lanes/bike-lanes-09.jpg,medium,DUPLICATE image — same photo reused as the Reference section opener (p106).
79,project hero,"White Rock Pier (White Rock, BC) — pier crosswalk, coast",Salt air. Holiday traffic. Held.,public/images/blog/white-rock-pier-crosswalk/featured.png,high,"NOTE: brief listed p79/80 as a duplicated spread — they are TWO DISTINCT images, not a duplication."
80,project detail,"White Rock Pier — autumn residential street, yellow crosswalk",(project story),public/images/products/traffic-patterns-xd/traffic-patterns-xd-140.jpg,medium,"Detail looks like an eastern/Quebec autumn street, not coastal White Rock BC (weak fit)."
81,project hero,Indigenous Recognition (Multiple municipalities) — orange Indigenous design,"Recognition, cast in pavement.",_archive/design-assets/catalog-print-build/assets/booklet/native crosswalk 1.png,medium,
82,project detail,Indigenous Recognition — DEPICTS railway 'Look Listen Live.ca' crossing,(project story: First Nations crosswalks),public/images/products/decomark/decomark-77.jpg,medium,"Caption/image mismatch — a railway-safety crossing sign, not a First Nations recognition crosswalk."
83,project hero,"Kitchener Veterans Memorial (Kitchener, ON) — 'Lest We Forget' flag crosswalk",Paint fades. Memory shouldn't.,public/images/blog/veterans-crosswalk-kitchener/featured.jpeg,high,
84,project detail,Kitchener Veterans Memorial — SAME 'Lest We Forget' photo,(project story),public/images/blog/veterans-crosswalk-kitchener/featured.jpeg,high,KNOWN DEFECT — SPREAD DUPLICATION: identical photo on both p83 and p84.
85,project hero,"Every Child Matters (Town of Georgina, ON) — orange 'every child matters' crosswalk",Honouring residential schools survivors.,public/images/blog/every-child-matters-crosswalk/featured.png,high,NOTE: brief listed p85/86 as a duplicated spread — they are distinct images (detail is a generic paver close-up).
86,project detail,Every Child Matters — tan TrafficPatterns panel close-up,(project story),public/images/products/traffic-patterns/traffic-patterns-36.jpg,medium,Generic detail; does not show the 'every child matters' graphic.
87,project hero,"Sechelt Pictograph Crosswalk (Sunshine Coast, BC) — Tsain-Ko orange pictograph",The origin story of the shishalh Nation.,public/images/blog/tsain-ko-crosswalk-sechelt/featured.jpg,high,
88,project detail,Sechelt Pictograph — DEPICTS Terry Fox Marathon of Hope map (NL medallion),(project story: shishalh Nation),public/images/blog/terry-fox-plaza-coquitlam/featured.jpg,medium,"Caption/image mismatch — Terry Fox map (same Port Coquitlam installation as p35/p43), not the Sechelt pictograph."
89,project hero,"Simcoe Rainbow Crosswalk (Simcoe, ON) — rainbow herringbone crosswalk",Two years of fundraising. One street.,public/images/blog/simcoe-rainbow-crosswalk/featured.jpg,high,NOTE: brief listed p89/90 as a duplicated spread — they are distinct images (detail is a generic paver close-up).
90,project detail,Simcoe Rainbow Crosswalk — cream paver close-up,(project story),public/images/products/traffic-patterns-xd/traffic-patterns-xd-129.jpg,medium,Generic detail; no rainbow shown (weak fit).
91,project hero,"Bowen Island Path (Snug Cove, BC) — playful shapes + 'water slide' speech bubble",Forest. Sunset. Water. Earth.,public/images/blog/bowen-island-asphalt-path/featured.jpg,high,
92,project detail,Bowen Island Path — DEPICTS red industrial-port pier with cranes,(project story: forest/waterfront path),public/images/products/streetbond/streetbond-92.jpg,medium,"Caption/image mismatch — red industrial pier, wrong context for a Bowen Island forest/village path (build map switched to a green oak-leaf image)."
93,project hero,"Murrayville Schoolhouse (Langley, BC) — brick sidewalk, new development","A schoolhouse, a sidewalk, a memory.",public/images/products/streetprint/streetprint-04.jpg,medium,"Hero is a generic new-development sidewalk, not obviously the heritage schoolhouse."
94,project detail,Murrayville Schoolhouse — orange stamped crosswalk at civic building,(project story),public/images/products/streetprint/streetprint-83.jpg,medium,
95,project hero,"White Rock Seaside Stroll (White Rock, BC) — Johnston Rd wave crosswalk","The waterfront, brought inland.",public/images/blog/white-rock-langley-trafficpatterns/featured.jpg,high,
96,project detail,White Rock Seaside Stroll — SAME wave crosswalk photo,(project story),public/images/blog/white-rock-langley-trafficpatterns/featured.jpg,high,SPREAD DUPLICATION (NEW) — same/near-identical wave-crosswalk photo on both p95 and p96.
97,project hero,"Langley Railroad Heritage (Langley City, BC) — railroad-tie crosswalk (wide)",Heritage cast in thermoplastic.,public/images/blog/langley-railroad-heritage/featured.jpg,high,"Installed by Square One Paving, March 2025."
98,project detail,Langley Railroad Heritage — railroad-tie close-up,(project story),public/images/blog/langley-railroad-heritage/detail.jpg,high,Two real angles of the same crosswalk (similar but distinct — borderline).
99,section opener,Ontario intersection — brick crosswalk + red lane,SECTION FOUR — Network.,public/images/applications/bus-lanes/bus-lanes-03.jpg,high,
100,installer card,Square One Paving (British Columbia) — Langley strata aerial,Square One Paving / squareonepaving.com / 604-446-9902,_archive/design-assets/catalog-print-build/assets/booklet/DecoMark community park 1.png,medium,[LOGO] placeholder shown — installer logo missing.
101,installer card,Thermo Design (Quebec) — red brick crosswalk close-up,Thermo Design / thermo-design.ca / 450.698.0000,_archive/design-assets/catalog-print-build/assets/booklet/Intergrated Rumble Bars (TrafficPatterns) 1.png,medium,[LOGO] placeholder shown — installer logo missing.
102,installer card,Virtue Construction (Saskatchewan) — crew installing,Virtue Construction / virtueconstruction.ca / 306-251-0177,_archive/design-assets/catalog-print-build/assets/booklet/Intersection installation TPXD 1.png,medium,[LOGO] placeholder shown — installer logo missing.
103,installer card,ULS Landscaping (Alberta & Saskatchewan) — bollard path,ULS Landscaping / ulslandscaping.com / 403-235-5353,_archive/design-assets/catalog-print-build/assets/booklet/StreetPrint walkway 1.png,medium,[LOGO] placeholder shown — installer logo missing.
104,full-bleed editorial,Orange/black checkerboard crosswalk in a new park (BC),(no caption),unconfirmed,low,Source unconfirmed.
105,full-bleed editorial,"Clarke Park (Snug Cove, Bowen Island, BC) — white medallion crosswalk",The surface underfoot. The city above.,unconfirmed,medium,Source unconfirmed (likely a Bowen Island / community-art image).
106,section opener,Vancouver Dunsmuir & Granville — green bike lane + SUV,SECTION FIVE — Reference.,public/images/applications/bike-lanes/bike-lanes-09.jpg,medium,DUPLICATE image — same photo as the p78 editorial spread.
107,reference table (no photo),-,The systems. (11-product reference grid),-,high,Consistent with product pages; ordering differs from product-page sequence (minor). Notably contains NO glass-bead claims.
108,reference text (no photo),-,500+ Canadian municipalities that specify HUB systems by name (partial list of 20),-,high,CLAIM: '500+' unverifiable; the 20 named are plausible/Canadian.
109,feature page,Lunch & Learn — Moose mascot,"Lunch is on us. Your spec is free. (CE credits — AIBC, RAIC, PEO)",_archive/design-assets/catalog-print-build/assets/moose-mascot.png,high,"CLAIM: 'CE credits — AIBC, RAIC, PEO' — verify HUBSS L&L is an accredited CE provider before printing."
110,contact (no photo),-,Speak with HUB — Cleve Stordy (West) / Doug Bain (East),-,high,Contact details match brand records.
111,field-notes (no photo),-,Project notes. (lined note page),-,high,
112,full-bleed editorial,Black-and-white spiral/circles Indigenous-style crosswalk,(no caption),_archive/design-assets/catalog-print-build/assets/booklet/aboriginal crosswalk 1.png,medium,Source inferred (booklet 'aboriginal crosswalk' scan).
113,editorial text / stats (no photo),-,"Built to outlast. 30+ years · 1,000+ projects · 500+ municipalities",-,high,Stat block repeated a third time; '500+' unverifiable; '20 years' is service-life framing.
114,editorial text (no photo),-,The public realm. Ours to build right. SPECIFIED. INSTALLED. BACKED.,-,high,Closing tagline repeats p113's 'Spec the surface ... twenty years.'
115,title / brand (no photo),-,HUB SURFACE SYSTEMS / Established 1994 · Coast to Coast / Thank you.,-,high,
116,back cover,Dim winter residential street with EV charger,Canada's Leading Decorative Pavement Solutions / hubss.com / Scan to view,unconfirmed,low,"Dark, low-contrast back-cover image — weak final impression."
