page,product,claim_as_printed,source_url,verified,final_wording,notes
23,MMAX,Applies at +3°C and rising,public/docs/MMAX (Ennis-Flint Extended Season PDS),partial,Extended Season applies down to 2°C (35°F) substrate,"Data sheet states 35°F (~2°C), not 3°C."
25,StreetBondSR,Initial SRI ≥ 0.33,public/docs/StreetBondSR (StreetBond-SR-Flat-Surface-Specification),no,SRI ≥ 29 (Solar Reflectance ≥ 0.33),"Units error: SRI is an index (≥29, e.g. Slate 65); 0.33 is Solar Reflectance. The body text correctly says 'Solar Reflectance ≥ 0.33' — make the callout consistent."
25,StreetBondSR,LEED v4 SS Credit: Heat Island Reduction,USGBC LEED v4; StreetBondSR data sheet (cites SSc7.1),partial,Contributes to LEED v4 Heat Island Reduction (non-roof hardscape),"v4 is the current credit name; data sheets cite the older SSc7.1 — cite USGBC, not the TDS."
25,StreetBondSR,custom Pantone matching,public/docs/StreetBondSR; StreetBond-Colour-Guide.pdf,no,custom colour matching,Same Pantone issue as StreetBond — not supported by the StreetBond family docs.
27,DuraTherm,Embedded into a milled groove / Inlaid into milled groove,public/docs/DuraTherm (DuraTherm-Specification-Branded; TS003),no,"Inlaid flush into heated asphalt — a heated template imprints the pattern, then precut thermoplastic is set into the depressions and heat-fused.",NOT milled. Imprinted into heated asphalt with a template + vibratory plate compactor; asphalt only (not PCC); sits sub-flush. Live hubss.com page is also wrong ('milled groove').
27,DuraTherm,Snowplow safe — no shear risk / heat-fused to asphalt substrate,public/docs/DuraTherm (TS003),yes,,"Sub-flush profile, asphalt-only — accurate."
29,DuraShield,Solar Reflectance 0.34,public/docs/DuraShield (Part-A-B Solar-Gray TDS),partial,Solar Reflectance 0.33 (Solar Gray variant),TDS states SR=0.33 for the Solar Gray variant only; the standard asphalt-black variant has no SR claim. Live site says 0.34.
29,DuraShield,"Chemical-resistant: fuel, oil, and deicing agents",public/docs/DuraShield (TDS),partial,"Excellent chemical resistance to fuel, oil, and de-icing exposure",TDS wording is 'excellent chemical resistance' — soften from an absolute claim.
29,DuraShield,Available with anti-slip aggregate,public/docs/DuraShield (TDS),partial,,Anti-slip is a field-broadcast practice; not documented in the two TDSs reviewed — verify product definition.
31,PreMark,125mil standard / 90mil ViziGrip (thickness),public/docs/PreMark (TS005; PreMarkXF Brochure),no,(remove specific mils until confirmed),"Thickness numbers are not stated in the available PDFs. ViziGrip is a manufacturing finish (beads + anti-skid), not a thickness option."
31,PreMark,Intersection-grade glass bead retroreflectivity,public/docs/PreMark (TS005),yes,,PreMark Beaded / ViziGrip are genuinely retroreflective (unlike TP/TPXD).
33,AirMark,Outlasts paint by four to one / Service life: 4x painted alternatives,public/docs/AirMark (AirMark_Brocure.pdf),no,Significantly outlasts painted alternatives,'4x' is not in the AirMark brochure; manufacturer wording is 'significantly outlasts paint.'
33,AirMark,Non-runway airfield surfaces,public/docs/AirMark (AirMark_Brocure.pdf),yes,,Positioned for taxiways/aprons/helipads/airside roads — accurate. Phrase as 'non-runway airside.'
33,AirMark,(omitted) 5 colours + ISO 9001:2015,public/docs/AirMark (AirMark_Brocure.pdf),yes,"Five standard colours (Red, White, Yellow, Black, Pink); ISO 9001:2015-certified manufacturing",Both are verified in the brochure — consider ADDING to the p33 spec (catalogue currently omits them; the live site understates AirMark as 'white and yellow').
5,general,30+ Years,https://hubss.com/about,partial,25+ years (or keep '30+' with care),HUBSS 'Since 1999' (~27 yrs); '30+' likely includes predecessor/industry experience — defensible but soft.
5,general,500+ Municipalities,(no source found),no,Specified across 10 provinces (or drop),"Unverifiable — not on hubss.com or any data sheet; /about cites '10 provinces served, 2 regional offices.' Repeated p7, p108, p113."
5,general,"1,000+ Projects",https://hubss.com/about,partial,,"Self-reported on hubss.com; verifiable as a site claim, not independently."
5,general,Installations across North America,(brand positioning),no,Installations coast to coast across Canada,Canadian-only positioning — 'North America' is off-message. Appears p5 and p7.
5,general,20yr Performance — Colour retention on stamped asphalt (and p113 'twenty years'),https://hubss.com/about (20-Year Performance); SB150 TDS warranty,partial,Designed for a 20-year service life,"Field-performance marketing, not a warranty (SB150 TDS warranty is 1 yr; brochure up to 5 yr). Frame as service life."
6,general,Thermoplastic and MMA last 6 to 8 times longer than paint,PPG/Ennis-Flint preformed-thermoplastic literature,yes,,'6–8x' is defensible for the thermoplastic/MMA line.
67,TrafficPatternsXD,Outlasts paint by eight times / 'Eight times the service life of paint',PPG/Ennis-Flint (up to 6–8x),partial,up to 6–8x longer than paint,Flat '8x' is the top edge; use the published 'up to 6–8x.' (Appears p67 headline + project story.)
38,MMAX,Bond strength above 3 MPa for cured MMAX zones (also p57),public/docs/MMAX (Product Data),partial,,Verify the 3 MPa bond-strength figure against the MMAX data sheet.
57,MMAX,"BRT corridor, open in 90 minutes / open to full bus traffic in 90 minutes",https://hubss.com/projects; MMAX PDS (30–60 min cure),partial,Open to traffic the same night (cure 30–60 min),'90 minutes' is plausible (cure + cooldown) but not a data-sheet figure; MMAX traffic-ready cure is 30–60 min.
37,TrafficPatterns / TrafficPatternsXD,TrafficPatterns and TrafficPatternsXD thermoplastic hold ASTM-rated retroreflectivity,public/docs/TrafficPatterns; public/docs/TrafficPatternsXD,no,...hold anti-skid performance through snowplow cycles and de-icing seasons; pair with PreMark beaded where retroreflectivity is required,TP/TPXD are non-reflective — drop the retroreflectivity claim in the Crosswalks application copy.
109,general,"CE credits — AIBC, RAIC, PEO",(no source found),partial,,"Verify HUBSS Lunch & Learn is an accredited/registered CE provider with AIBC, RAIC and PEO before printing — accreditation claims carry liability."
107,general,Product reference table (11 systems),(internal cross-check),yes,,One-liners are consistent with the spec pages; contains no glass-bead claims. Note the table's product order differs from the product-page sequence (minor).
