product,page_v54,claim_as_printed,source,verified,final_wording,notes
DuraTherm,27,"Inlaid thermoplastic embedded into a milled groove, zero profile above grade","PPG; PRODUCT-CLAIMS-AUDIT.md (fixed from 'full-depth')",Verified,"Inlaid into a milled groove — flush with surface, zero raised profile","§6 reconciliation ALREADY APPLIED in v54. Distinct from StreetPrint. Never use 'full-depth integration'"
DuraShield,29,"Two-component epoxy-modified acrylic maintenance coating; Solar Reflectance 0.34","TDS; PRODUCT-CLAIMS-AUDIT.md (critical category fix)",Verified,"Two-component epoxy-modified acrylic pavement maintenance coating; SR 0.34","Was wrongly a 'penetrating rejuvenator' on website — corrected. Do NOT reintroduce penetration/6-12mm claims"
PreMark,31,"Preformed regulatory markings, no stencils","standard",Verified,"Pre-cut preformed thermoplastic markings, heat-applied, no stencils",
PreMark,31,"Thickness (if stated)","PPG: 125mil standard, 90mil ViziGrip option",Fixed,"125-mil standard / 90-mil ViziGrip option","Website had these REVERSED. Ensure catalogue states 125mil standard"
AirMark,33,"Airfield thermoplastic, engineered to airfield marking standards (non-runway)","PPG (excludes runways); FAA AC 150/5370-10; PRODUCT-CLAIMS-AUDIT.md",Verified,"High-durability airfield thermoplastic for taxiways, aprons, and non-runway surfaces","LIABILITY: never claim runway use. v54 alt says 'airfield marking standards' — confirm non-runway scope is explicit on the page"
AirMark,33,"Outlasts paint 4x (if present)","PPG claims 8-12x for AirMark",Softened,"Multi-year service life with no annual repainting cycle",
Stat-global,5/7,"30+ YEARS","Established 1994; 1994->2026 = 32 yrs",Verified,"30+ years",
Stat-global,5/7,"1,000+ PROJECTS","company claim; not independently sourced",Vernon's-call,"1,000+ projects","Confirm the figure is defensible / current"
Stat-global,5/7,"10 PROVINCES","company claim",Vernon's-call,"Specified across 10 provinces","Verify count; cities list on p127 supports BC/AB/SK/MB/ON/QC/NS at minimum"
Stat-project,77,"BRT corridor open in 90 minutes (MMAX, York Region VIVA)","MMAX 45-60 min cure supports same-shift reopening",Plausible,"Open to traffic in about 90 minutes","NB prompt §6 lists 'open in 90 days' — catalogue actually prints 90 MINUTES; confirm which is intended"
Stat-project,109,"Two years of fundraising, one street (Simcoe)","project narrative",Vernon's-call,"Two-year community fundraising campaign","Confirm Simcoe vs Collingwood location (PROJECT-IMAGE-AUDIT lists Collingwood Rainbow Crosswalk; alt text says Simcoe ON)"
Co-branding,N/A,"Ennis-Flint / TrafficScapes attribution","old catalogue p4/p71",Decision,"Omitted in new book (intentional)","§7 — flagged for Doug in ISSUES.md. Manufacturer attribution can matter for spec credibility. Do not re-add unilaterally"
